event_id,event_date,measure,pre_mean,post_mean,delta,pre_sd,post_sd,n_pre,n_post,welch_t,dropped
mica_full,2024-12-30,C_pairwise,0.5506100754100561,0.7635833481834611,0.21297327277340494,0.09690740676849667,0.03801967662182684,30,31,11.229922852281156,venue=coinbase
mica_full,2024-12-30,C_pca,0.5632384795134584,0.772459896527507,0.20922141701404862,0.093361626859534,0.03473290354209388,30,31,11.52666404430345,venue=coinbase
btc_etf_approval,2024-01-10,C_pairwise,0.5942676659391476,0.6895469664021859,0.09527930046303834,0.05968020631162425,0.03846146566813165,30,31,7.385258190436842,venue=kraken
btc_etf_approval,2024-01-10,C_pca,0.6120281410558558,0.699228238559182,0.08720009750332625,0.05342865440879073,0.03613685335066277,30,31,7.442434186193983,venue=kraken
btc_etf_launch,2024-01-11,C_pairwise,0.5963571916471848,0.6883337530326952,0.09197656138551036,0.06089746837597389,0.039968443124383586,30,31,6.949831977609096,venue=kraken
btc_etf_launch,2024-01-11,C_pca,0.6142005744593122,0.6982014082447136,0.08400083378540135,0.054621793916133025,0.03729988648068549,30,31,6.992028536548448,venue=kraken
eth_rule_approval,2024-05-23,C_pairwise,0.7677631469711491,0.7216501702992941,-0.04611297667185499,0.03604254641457946,0.023822127341519256,30,31,-5.874935674230727,venue=kraken
eth_rule_approval,2024-05-23,C_pca,0.7749417402285462,0.7314414073368044,-0.04350033289174182,0.034581437490821154,0.024649729091045576,30,31,-5.641178231493062,venue=kraken
eth_etf_launch,2024-07-23,C_pairwise,0.7261864963116775,0.7576512485702062,0.03146475225852863,0.04279106294116029,0.018650242945843457,30,31,3.7015765221625325,venue=kraken
eth_etf_launch,2024-07-23,C_pca,0.7329093208091307,0.7729122332766786,0.040002912467547835,0.04194240363086586,0.021478209577801204,30,31,4.665402268037747,venue=kraken
mica_stablecoin,2024-06-30,C_pairwise,0.7117939705768187,0.7438073401886778,0.03201336961185908,0.032951758028388164,0.02846987213841277,30,31,4.054593543144496,venue=kraken
mica_stablecoin,2024-06-30,C_pca,0.7217362407550273,0.7514023991828482,0.029666158427820943,0.0342645805851577,0.027903030598964998,30,31,3.701024099535358,venue=kraken
mica_full,2024-12-30,C_pairwise,0.5538811404416696,0.765882999814416,0.2120018593727464,0.09681572003413919,0.03808810147512931,30,31,11.185297066673723,venue=kraken
mica_full,2024-12-30,C_pca,0.5664871099482094,0.7747930661532421,0.20830595620503267,0.0932374735770645,0.03471172256800122,30,31,11.490531165266411,venue=kraken
btc_etf_approval,2024-01-10,C_pairwise,0.5942220833395218,0.6895270638311369,0.09530498049161518,0.05964076472976338,0.038430352239483254,30,31,7.392448028845722,venue=bybit
btc_etf_approval,2024-01-10,C_pca,0.6119843111454596,0.6992068185440058,0.0872225073985462,0.05340412706948984,0.03610843328326121,30,31,7.448514418885567,venue=bybit
btc_etf_launch,2024-01-11,C_pairwise,0.5963185341631174,0.6883115168071287,0.09199298264401123,0.060863920650329736,0.03993890413877778,30,31,6.955289409049223,venue=bybit
btc_etf_launch,2024-01-11,C_pca,0.6141622612608454,0.6981775824811336,0.08401532122028821,0.054602523106950004,0.03727307564301706,30,31,6.996498961915494,venue=bybit
eth_rule_approval,2024-05-23,C_pairwise,0.767785445907069,0.7217053664040963,-0.04608007950297266,0.035837332120238076,0.02388234557565677,30,31,-5.889849151261976,venue=bybit
eth_rule_approval,2024-05-23,C_pca,0.7749652881567906,0.73149334836126,-0.043471939795530545,0.03438158295764355,0.024726490700414463,30,31,-5.653546787974245,venue=bybit
eth_etf_launch,2024-07-23,C_pairwise,0.7258206834165731,0.7576061478922027,0.03178546447562958,0.04302702836608321,0.018617952981874124,30,31,3.7229521821983513,venue=bybit
eth_etf_launch,2024-07-23,C_pca,0.7325480135539321,0.7728580687741777,0.040310055220245666,0.04218195594558149,0.021454243579591845,30,31,4.680939348335044,venue=bybit
mica_stablecoin,2024-06-30,C_pairwise,0.7116056831608992,0.7436046304908012,0.03199894732990194,0.03321377679091864,0.02862991334822165,30,31,4.024694894314617,venue=bybit
mica_stablecoin,2024-06-30,C_pca,0.7215488259111584,0.7511998739585354,0.02965104804737695,0.03454708947335,0.02807242981067118,30,31,3.6719821089647344,venue=bybit
mica_full,2024-12-30,C_pairwise,0.5538070970898592,0.7660381197350137,0.21223102264515448,0.0966553739176919,0.03805958072446969,30,31,11.21463535558891,venue=bybit
mica_full,2024-12-30,C_pca,0.5663743145401187,0.7749378231377883,0.2085635085976696,0.09311030365678433,0.03470064223803023,30,31,11.519025508321269,venue=bybit
btc_etf_approval,2024-01-10,C_pairwise,0.5942144987419098,0.6894247731483304,0.0952102744064206,0.05963408963158733,0.038425638396952545,30,31,7.38595141580511,venue=okx
btc_etf_approval,2024-01-10,C_pca,0.6119873702269188,0.699116443288567,0.08712907306164819,0.05339426787058686,0.036100750385732155,30,31,7.441973606397693,venue=okx
btc_etf_launch,2024-01-11,C_pairwise,0.5963081748577813,0.6882112956880023,0.09190312083022101,0.06085559947546571,0.039929406331553174,30,31,6.949652028881447,venue=okx
btc_etf_launch,2024-01-11,C_pca,0.6141628205869794,0.698089485561404,0.08392666497442469,0.05459120182858247,0.03726078331719213,30,31,6.990831500967936,venue=okx
eth_rule_approval,2024-05-23,C_pairwise,0.767781301396724,0.7217046108819193,-0.046076690514804675,0.03587071387246426,0.02389917964481825,30,31,-5.8843356189202725,venue=okx
eth_rule_approval,2024-05-23,C_pca,0.77496634204628,0.7314822556157617,-0.043484086430518265,0.03441428535577395,0.02473976924931067,30,31,-5.650532391249232,venue=okx
eth_etf_launch,2024-07-23,C_pairwise,0.725767330790874,0.7575386090296247,0.0317712782387507,0.04298310101725164,0.01862264578590934,30,31,3.7243652189476935,venue=okx
eth_etf_launch,2024-07-23,C_pca,0.7324984816441353,0.7727928048576004,0.040294323213465044,0.04213740862526617,0.021463002815252263,30,31,4.68268404133318,venue=okx
mica_stablecoin,2024-06-30,C_pairwise,0.7116234912618172,0.7435235661466529,0.031900074884835705,0.033221948428927436,0.02860564565565574,30,31,4.013107047563825,venue=okx
mica_stablecoin,2024-06-30,C_pca,0.7215570782316474,0.751122892297226,0.029565814065578566,0.03454791398800203,0.028044636895331033,30,31,3.662786749658927,venue=okx
mica_full,2024-12-30,C_pairwise,0.5538301264195982,0.7662328917813315,0.2124027653617333,0.09666101453357721,0.03794532649024348,30,31,11.227532384097536,venue=okx
mica_full,2024-12-30,C_pca,0.5663932827811748,0.7750641639040563,0.20867088112288146,0.09311511223300864,0.034647420299633296,30,31,11.526524159376072,venue=okx
btc_etf_approval,2024-01-10,C_pairwise,0.5954864712270904,0.6901801231000274,0.09469365187293699,0.05989677668427579,0.03847646209465188,30,31,7.320089676648072,venue=bitstamp
