event_id,treated,outcome,event_time,coef,se,tstat,pval
btc_etf_launch,BTC,log_amihud_illiquidity,-29,0.45708392600548664,0.17186082320645535,2.659616761269638,0.007844394571449254
btc_etf_launch,BTC,log_amihud_illiquidity,-28,0.5194194697527149,0.1528540718073701,3.398139569401188,0.0006830096633432259
btc_etf_launch,BTC,log_amihud_illiquidity,-27,1.0843339344626577,0.7652467785295802,1.4169728836313464,0.15654438115506597
btc_etf_launch,BTC,log_amihud_illiquidity,-26,0.7904236907545517,0.6657926053124048,1.1871920541737875,0.23520032713062355
btc_etf_launch,BTC,log_amihud_illiquidity,-25,0.2502460771887292,0.26883397462386915,0.9308573350479729,0.35196597606509883
btc_etf_launch,BTC,log_amihud_illiquidity,-24,0.39877320784649545,0.17221323806868694,2.315578130453859,0.02061590755426046
btc_etf_launch,BTC,log_amihud_illiquidity,-23,0.16871751817873626,0.16236027881087553,1.0391551395108525,0.2987757584358295
btc_etf_launch,BTC,log_amihud_illiquidity,-22,0.2834058289205361,0.11637231067544597,2.4353373003904224,0.014907739225254346
btc_etf_launch,BTC,log_amihud_illiquidity,-21,0.6410573720417598,0.17049831160019227,3.7599045176763903,0.0001716447882702532
btc_etf_launch,BTC,log_amihud_illiquidity,-20,0.5558150463532521,0.1769171976668367,3.1416677049109745,0.0016883133382659121
btc_etf_launch,BTC,log_amihud_illiquidity,-19,0.5509552037290831,0.273762084401858,2.0125329076627376,0.04420976882454797
btc_etf_launch,BTC,log_amihud_illiquidity,-18,0.664290445702179,0.2745919877115974,2.419190928469042,0.015585536330764871
btc_etf_launch,BTC,log_amihud_illiquidity,-17,0.6602983988471902,0.26137644917964004,2.526235247741763,0.011555526894358792
btc_etf_launch,BTC,log_amihud_illiquidity,-16,0.562760563415189,0.17204811296723432,3.270948769559384,0.001078114202930136
btc_etf_launch,BTC,log_amihud_illiquidity,-15,0.5502119776785181,0.1659737174571194,3.315054853914866,0.0009218579195791055
btc_etf_launch,BTC,log_amihud_illiquidity,-14,0.6143501502913591,0.168019724344069,3.6564168444491636,0.00025802263453678087
btc_etf_launch,BTC,log_amihud_illiquidity,-13,0.57418924778624,0.19297145702180968,2.975513874683265,0.0029370047548542555
btc_etf_launch,BTC,log_amihud_illiquidity,-12,0.4853804786643277,0.23612061577208418,2.055646335993135,0.03986113231559241
btc_etf_launch,BTC,log_amihud_illiquidity,-11,0.5477427670991991,0.2597208897923435,2.1089669280631984,0.03499004386224258
btc_etf_launch,BTC,log_amihud_illiquidity,-10,0.5630234447975901,0.21646686542019491,2.6009682530611626,0.009319626613686571
btc_etf_launch,BTC,log_amihud_illiquidity,-9,0.49562703378243256,0.13706964071828898,3.615877529007792,0.0003018652571169511
btc_etf_launch,BTC,log_amihud_illiquidity,-8,0.5092804358815983,0.12659631201228094,4.0228694484575005,5.822175034042587e-05
btc_etf_launch,BTC,log_amihud_illiquidity,-7,0.33107487112724326,0.15326912898569303,2.160088423012749,0.03080652257463412
btc_etf_launch,BTC,log_amihud_illiquidity,-6,0.2712442842772853,0.11743234787439277,2.309791886026258,0.020934503373758462
btc_etf_launch,BTC,log_amihud_illiquidity,-5,0.29934011545450556,0.3077890328958107,0.972549647523779,0.3308175960880899
btc_etf_launch,BTC,log_amihud_illiquidity,-4,0.2931532394177976,0.27300549715421285,1.0737997676735567,0.2829569518838886
btc_etf_launch,BTC,log_amihud_illiquidity,-3,0.28330399688266555,0.15997223413993877,1.7709573064713215,0.07662013066538997
btc_etf_launch,BTC,log_amihud_illiquidity,-2,0.17022574788480488,0.07445265699697898,2.2863622972073654,0.022268831458931215
btc_etf_launch,BTC,log_amihud_illiquidity,0,0.2842343271582164,0.06411456707969933,4.4332253979800145,9.453970648110044e-06
btc_etf_launch,BTC,log_amihud_illiquidity,1,-0.08464228223487734,0.09477185780634909,-0.8931162076386654,0.371831871449108
btc_etf_launch,BTC,log_amihud_illiquidity,2,0.3864052150309082,0.21350476369215893,1.809820110562241,0.07037524993553412
btc_etf_launch,BTC,log_amihud_illiquidity,3,0.44639544916792384,0.2515627308264001,1.7744895982862223,0.07603446510144951
btc_etf_launch,BTC,log_amihud_illiquidity,4,0.23022707072891788,0.14309600304266487,1.6088993810698848,0.10769258220465416
btc_etf_launch,BTC,log_amihud_illiquidity,5,0.11403045360872353,0.17711468093988078,0.6438227085615204,0.5197157756214399
btc_etf_launch,BTC,log_amihud_illiquidity,6,0.3271067975844447,0.19128206462168815,1.7100756321894925,0.08730518762879447
btc_etf_launch,BTC,log_amihud_illiquidity,7,0.44664865353999644,0.17481253854734546,2.5550149734770202,0.010643539432609428
btc_etf_launch,BTC,log_amihud_illiquidity,8,0.24277759424447354,0.12071446116289314,2.0111724138574196,0.044353270851111626
btc_etf_launch,BTC,log_amihud_illiquidity,9,0.25094544605856184,0.4061722900727571,0.6178300494443142,0.5367115468004209
btc_etf_launch,BTC,log_amihud_illiquidity,10,0.24085038126174882,0.2840782017292727,0.8478312654600648,0.39656681326026355
btc_etf_launch,BTC,log_amihud_illiquidity,11,0.29069194154606615,0.0908226481176728,3.2006547658623226,0.0013785242567045941
btc_etf_launch,BTC,log_amihud_illiquidity,12,0.1982545322431316,0.09254777044452396,2.142185935878073,0.03221989702289263
btc_etf_launch,BTC,log_amihud_illiquidity,13,0.06035982944206935,0.11015711231088583,0.5479430985057198,0.5837519883153681
btc_etf_launch,BTC,log_amihud_illiquidity,14,-0.017762379500575992,0.18670688424718526,-0.09513510748248573,0.9242107879762176
btc_etf_launch,BTC,log_amihud_illiquidity,15,0.12173200623751879,0.13060190050217332,0.9320844931769815,0.3513315246182558
btc_etf_launch,BTC,log_amihud_illiquidity,16,0.07038818322831915,0.3062982724018964,0.22980274317695876,0.8182531288090318
btc_etf_launch,BTC,log_amihud_illiquidity,17,0.2993934807309376,0.19630930332589455,1.525111014397072,0.12728574617522015
